borough,actual,forecast,naive,centre,samp_sd,origin_wave,target_wave,covid,lo_samp,hi_samp,cov_samp,lo_cal,hi_cal,cov_cal
E09000009,58.21678161621094,60.35428464893568,58.329212,59.961149655576605,1.9220526560162,4,5,1,56.799373036429955,63.122926274723255,True,53.48055209977596,66.44174721137725,True
E09000010,57.229000091552734,60.598714152014836,65.47926,60.445720679772606,1.5376149799853744,4,5,1,57.91634403769667,62.975097321848544,False,54.24902321351316,66.64241814603204,True
E09000011,63.35349655151367,62.965437034900205,60.768497,63.20536161961907,1.5129872298178766,4,5,1,60.71649762656866,65.69422561266947,True,57.02509000206295,69.38563323717518,True
E09000012,71.73430633544922,69.00325713344992,66.74673,69.09271675984331,1.5354780813950626,4,5,1,66.56685531594843,71.6185782037382,False,62.89745330098851,75.28798021869811,True
E09000013,74.47175598144531,71.38519266460307,72.57707,72.01239621433464,1.6385795821723301,4,5,1,69.31693280166115,74.70785962700813,True,65.74607063231066,78.27872179635862,True
E09000014,66.9899673461914,66.06519354890207,67.713745,65.6883926213858,1.7676601596605235,4,5,1,62.78059165874424,68.59619358402736,True,59.32784077982315,72.04894446294846,True
E09000015,53.688716888427734,57.57225311609923,61.250443,57.95788720658286,1.559910255826113,4,5,1,55.3918348357489,60.52393957741682,False,51.74612915746911,64.16964525569661,True
E09000016,52.47527313232422,59.59419119670715,59.987904,59.99256240917587,1.748939180207278,4,5,1,57.115557457734894,62.86956736061684,False,53.646030223684114,66.33909459466761,False
E09000017,58.13908386230469,57.70560981437058,56.51477,57.69591519465395,2.1326392264351077,4,5,1,54.1877236671682,61.2041067221397,True,51.03943556316782,64.35239482614007,True
E09000018,55.435829162597656,58.58066287519678,62.831825,58.37516622674708,1.7971668277530997,4,5,1,55.41882679509323,61.331505658400935,True,51.99227846915505,64.75805398433911,True
E09000019,72.62734985351562,72.05128336851065,74.78776,72.24617451253351,1.3725741619898568,4,5,1,69.9882900160602,74.50405900900682,True,66.15525047013392,78.3370985549331,True
E09000020,71.32174682617188,67.17466052292953,68.65462,67.37822832476851,1.5436941907222796,4,5,1,64.83885138103037,69.91760526850666,False,61.17744220095681,73.57901444858021,True
E09000021,67.49772644042969,66.00698582501087,69.56524,66.26392905014991,1.7697878549543578,4,5,1,63.35262802874999,69.17523007154983,True,59.90177635408303,72.62608174621678,True
E09000022,73.9909896850586,71.31912875783956,72.02527,71.35810093497587,1.2427724518738048,4,5,1,69.31374025164345,73.40246161830828,False,65.34305946426079,77.37314240569094,True
E09000023,66.57389068603516,68.8398079282455,69.49074,69.19451832864952,1.3994476647908225,4,5,1,66.89242692006862,71.49660973723043,False,63.08706893104262,75.30196772625642,True
E09000024,61.394508361816406,67.13226622144674,66.376236,67.50678838069828,1.2746048053535082,4,5,1,65.41006347589176,69.6035132855048,False,61.47374863134284,73.53982813005372,False
E09000025,50.23212432861328,57.65112618351563,55.050938,57.388491185990006,1.7176552159472582,4,5,1,54.56294835575677,60.214034016223245,False,51.0651213900387,63.711860981941314,False
E09000026,52.1306037902832,58.672936714777585,58.24722,58.76094100966477,1.1857087408824831,4,5,1,56.81045013091308,60.711431888416456,False,52.77715224676878,64.74472977256076,False
E09000027,71.9942855834961,70.91684240533834,73.42809,70.91799016328491,1.458125778926824,4,5,1,68.51937325695029,73.31660706961954,True,64.77350675503804,77.06247357153178,True
E09000028,68.9953384399414,68.71496848300428,69.01016,68.62723113517661,1.7040741170323677,4,5,1,65.82402921265837,71.43043305769486,True,62.313812543852514,74.94064972650072,True
E09000029,62.63064193725586,61.59697270709347,68.103745,62.17465604778837,1.6634646345696196,4,5,1,59.43825672392134,64.9110553716554,True,55.89061319700141,68.45869889857534,True
E09000030,61.677391052246094,66.53143384037129,67.3498,66.19675149124107,2.026167111686771,4,5,1,62.86370659251634,69.52979638996581,False,59.630892705995855,72.7626102764863,True
E09000031,61.95744323730469,64.34569554524717,66.09875,64.3720655670414,1.6387903238504318,4,5,1,61.67625548430744,67.06787564977536,True,58.10559085688443,70.63854027719837,True
E09000032,71.24659729003906,74.85302093099445,79.0736,74.78098107108744,1.3412512851730118,4,5,1,72.57462270697783,76.98733943519704,False,68.70896900573848,80.8529931364364,True
E09000033,61.74304962158203,69.20411406579481,69.69542,69.39052696844496,1.4924948848312645,4,5,1,66.93537288289752,71.8456810539924,False,63.22375351106491,75.557300425825,False
E09000002,50.31465148925781,51.4012442114096,51.807022,51.305525940284745,1.7337308312943123,5,6,1,48.453538722805604,54.15751315776389,True,44.97029552777951,57.64075635278998,True
E09000003,62.6378059387207,61.03211427765026,60.54782,61.221872726652904,1.1929038720506429,5,6,1,59.259545857129595,63.184199596176214,True,55.234215419014134,67.20953003429167,True
E09000004,54.49216842651367,59.151875491215755,51.67815,59.14363515633387,1.551221092484991,5,6,1,56.59187645919606,61.695393853471685,False,52.937768114631695,65.34950219803605,True
E09000005,54.12129592895508,54.27078682960522,56.05859,54.18114845158342,1.6936261462737523,5,6,1,51.39513344096309,56.96716346220374,True,47.8753421644962,60.48695473867063,True
E09000006,67.2420425415039,66.60066117038592,69.445335,66.72146482829245,1.3873974165144298,5,6,1,64.43919607812622,69.0037335784587,True,60.621459587405184,72.82147006917972,True
E09000007,68.8153305053711,68.72490888364459,64.22218,68.74821361738637,1.8158653193447722,5,6,1,65.76111516706422,71.73531206770852,True,62.351021229878874,75.14540600489386,True
E09000008,57.68427276611328,62.10810902787637,58.57531,61.75821297612559,1.527842180475015,5,6,1,59.244912589244194,64.27151336300699,False,55.56806014072927,67.94836581152191,True
E09000009,58.82556915283203,58.344848024457974,58.21678,58.293691629813736,1.793561677784841,5,6,1,55.34328266985767,61.2441005897698,True,51.91354850274708,64.6738347568804,True
E09000010,58.706485748291016,61.00337356232293,57.229,60.859777287833694,1.4607147324908818,5,6,1,58.456901552886194,63.262653022781194,True,54.71363011350844,67.00592446215894,True
E09000011,65.5340805053711,64.15633889896036,63.353497,63.86590325526621,1.224210576694421,5,6,1,61.85207685660389,65.87972965392854,True,57.86117095025743,69.87063556027499,True
E09000012,68.41667938232422,70.45676277863699,71.73431,70.53827378812647,1.4481679088056731,5,6,1,68.15603757814114,72.92050999811181,True,64.40016637207125,76.6763812041817,True
E09000013,73.36970520019531,72.99665249298167,74.471756,72.72881588145785,1.4901303189038273,5,6,1,70.27755150686106,75.18008025605464,True,66.56358998737787,78.89404177553783,True
E09000014,64.65753173828125,65.02987879343864,66.98997,64.87570362151749,1.7136172797028582,5,6,1,62.056803196406285,67.69460404662868,True,58.55529913307223,71.19610810996275,True
E09000015,58.47798156738281,56.40770859931013,53.688717,56.308109136094195,1.6607884998938496,5,6,1,53.57611205376881,59.04010621841958,True,50.0259820004258,62.59023627176259,True
E09000016,53.420936584472656,57.748804948101736,52.475273,57.39174838495851,1.2232923526718746,5,6,1,55.37943246481328,59.404064305103745,False,51.387522485366055,63.39597428455097,True
E09000017,54.20035171508789,56.5746084796028,58.139084,56.62283773205572,1.6985640399690995,5,6,1,53.82869988630655,59.41697557780489,True,50.3134384268988,62.932237037212644,True
E09000018,53.70500564575195,56.464393024997236,55.43583,56.42803962434764,1.6814912681117231,5,6,1,53.66198648830385,59.19409276039143,True,50.13102737707636,62.72505187161892,True
E09000019,72.7602767944336,73.86889702745337,72.62735,73.72028772377077,1.5431459818971736,5,6,1,71.18181258354991,76.25876286399162,True,67.51987085646368,79.92070459107785,True
E09000020,66.77879333496094,69.14265487030059,71.32175,68.84566596197057,1.7171676014604573,5,6,1,66.02092525756811,71.67040666637303,True,62.52265454825519,75.16867737568595,True
E09000021,66.45835876464844,66.99927823470354,67.49773,67.38050938903099,1.5688292452370205,5,6,1,64.79978528061609,69.96123349744589,True,61.16267614789138,73.5983426301706,True
E09000022,71.7225341796875,72.40277103772581,73.99099,72.50442065870057,1.5871886781311089,5,6,1,69.8934952831749,75.11534603422623,True,66.27399173225973,78.7348495851414,True
E09000023,68.04320526123047,68.18622779527638,66.57389,68.48533566860922,1.12136756243567,5,6,1,66.64068602840254,70.3299853088159,True,62.535205788851854,74.4354655483666,True
E09000024,66.36222839355469,66.07638785704412,61.39451,65.90798543614615,1.5395829348075005,5,6,1,63.37537150838781,68.44059936390448,True,59.70996586551374,72.10600500677856,True
E09000025,56.020050048828125,55.73478964000752,50.232124,55.58301531495541,1.7984312746379314,5,6,1,52.624595868176016,58.541434761734806,True,49.19916389798545,61.96686673192537,True
