variable,in_waves,n_waves,first_wave,last_wave,label_y_latest,value_scheme_stable,schemes_seen
ACTYRA_EQUESTEVENTING_U16,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Eventing,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_EQUESTHACKING_U12,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Hacking or pony trekking,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_EQUESTOTHER_U17,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Other horse riding,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_EQUESTSCHOOLING_U13,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Schooling,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_EQUESTSHOWJUMP_U14,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Show jumping,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_EQUEST_L09,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Equestrian,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_EXBIKE_P12,2;3;4;5;6;7;8,7,2,8,Done 1-3 months ago: Exercise bike,YES,"[w2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_EXMACHINESOTHER_P16,2;3;4;5;6;7;8,7,2,8,Done 1-3 months ago: Other exercise machine,YES,"[w2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_EXMACHINES_E03,2;3;4;5;6;7;8,7,2,8,Done 1-3 months ago: Exercise machines,YES,"[w2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_FELLRUNNING_L04,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Fell running,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_FENCING_J03,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Fencing,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_FITCLASS_E02,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Fitness class,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_FITNESS_B06,2;3;4;5;6;7;8,7,2,8,Done 1-3 months ago: Fitness activities,YES,"[w2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_FOOTBALL11_Q01,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: 11 a-side football,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_FOOTBALLOTHER_Q05,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Other football,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_FOOTBALLSMALL_Q02,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Small sided football,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_FOOTBALLWALK_Q04,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Walking football,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_FOOTBALL_F01,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Football,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_FREEWEIGHTS_P18,2;3;4;5;6;7;8,7,2,8,Done 1-3 months ago: Free weights,YES,"[w2,3,4,5,6,7,8] 0=No|1=Yes"
